sourceCode,sourceName,sourceFrequency,conceptId,sourceAutoAssignedConceptIds,conceptName,domainId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:approvedBy,ADD_INFO:approvedOn,ADD_INFO:numberOfConcepts,ADD_INFO:customConcept,ADD_INFO:lastAthenaFilter
MEDICATION_P_00136328,L01FF02: PEMBROLIZUMAB INFOPL CONC 25MG/ML FL 4ML,1129,46276413,912158,4 ML pembrolizumab 25 MG/ML Injection,,0,APPROVED,EQUAL,pj,1693745405557,,,pj,1693745216711,,peter,1693748844936,1,,pembrolizumab infopl conc 25mg/ml fl 4ml
MEDICATION_P_00118907,L01CB01: ETOPOSIDE INFOPL CONC 20MG/ML FL 25ML,674,1350542,1350504,etoposide 20 MG/ML,,0,APPROVED,EQUAL,pj,1693745454941,,,pj,1693745216901,,peter,1693748844936,1,,etoposide infopl conc 20mg/ml fl 25ml
MEDICATION_CS00185433,L01XA02: CARBOPLATINE INFOPL CONC 10MG/ML FL 45ML,360,19095938,36863843,carboplatin 10 MG/ML,,0,APPROVED,EQUAL,pj,1693745522515,,,pj,1693745217159,,peter,1693748844936,1,,"""carboplatin"" infopl conc 10mg/ml fl 45ml"
MEDICATION_CS00185242,L01XA01: CISPLATINE INFOPL CONC 1MG/ML FL 100ML,251,19082971,722584,cisplatin 1 MG/ML,,0,APPROVED,EQUAL,pj,1693745552460,,,pj,1693745217350,,peter,1693748844936,1,,"""cisplatin"" infopl conc 1mg/ml fl 100ml"
MEDICATION_P_00138088,L01BA04: PEMETREXED INFUSIEPOEDER 500MG FL,226,35604780,1304919,pemetrexed 500 MG,,0,APPROVED,EQUAL,pj,1693745695898,,,pj,1693745217479,,peter,1693748844936,1,,"""pemetrexed"" infusion powder 500mg fl"
MEDICATION_P_00148482,L01FF05: ATEZOLIZUMAB INFOPL CONC 60MG/ML FL 20ML,213,42629080,42629079,atezolizumab 60 MG/ML,,0,APPROVED,EQUAL,pj,1693745713107,,,pj,1693745217671,,peter,1693748844936,1,,atezolizumab infopl conc 60mg/ml fl 20ml
MEDICATION_P_00196029,L01FF03: DURVALUMAB INFOPL CONC 50MG/ML FL 10ML,172,1594035,1594034,durvalumab 50 MG/ML,,0,APPROVED,EQUAL,pj,1693745727890,,,pj,1693745217920,,peter,1693748844937,1,,durvalumab infopl conc 50mg/ml fl 10ml
MEDICATION_CS00188888,"L01BC05: GEMCITABINE INFOPL CONC  38MG/ML FL 52,6ML",130,40242699,722584,gemcitabine 38 MG/ML,,0,APPROVED,EQUAL,pj,1693745740386,,,pj,1693745218743,,peter,1693748844937,1,,"gemcitabine infopl conc  38mg/ml fl 52,6ml"
MEDICATION_CS00186407,L01CD01: PACLITAXEL INFOPL CONC 6MG/ML FL 50ML,112,1378386,722584,paclitaxel 6 MG/ML,,0,APPROVED,EQUAL,pj,1693745751345,,,pj,1693745218931,,peter,1693748844937,1,,paclitaxel infopl conc 6mg/ml fl 50ml
MEDICATION_P_00142638,L01BA04: PEMETREXED INFOPL CONC 25MG/ML FL 40ML,84,1758854,1304919,pemetrexed 25 MG/ML,,0,APPROVED,EQUAL,pj,1693745763386,,,pj,1693745219117,,peter,1693748844937,1,,pemetrexed infopl conc 25mg/ml fl 40ml
MEDICATION_CS00018513,L01CD02: DOCETAXEL INFOPL CONC 20MG/ML FL 8ML,62,40224722,722584,docetaxel 20 MG/ML,,0,APPROVED,EQUAL,pj,1693745775417,,,pj,1693745219302,,peter,1693748844937,1,,docetaxel infopl conc 20mg/ml fl 8ml
MEDICATION_P_00127337,L01EX09: NINTEDANIB CAPSULE 100MG LONGCARCINOO,51,45775399,45775399,nintedanib 100 MG Oral Capsule,,0,APPROVED,EQUAL,pj,1693745801777,,,pj,1693745219446,,peter,1693748844937,1,,nintedanib capsule 100mg longcarcinoo
MEDICATION_P_B9000817,L01FF01: ST NIVOLUMAB CA209-9LA FLAC 100 MG/10ML,35,45892629,905656,nivolumab 10 MG/ML,,0,APPROVED,EQUAL,pj,1693745877160,,,pj,1693745219711,,peter,1693748844937,1,,nivolumab  flac 100 mg/10ml
MEDICATION_P_B9001921,L01FF05: ST Atezolizumab staal 1200 mg/20 ml,33,42629080,42629082,atezolizumab 60 MG/ML,,0,APPROVED,EQUAL,pj,1693745893345,,,pj,1693745219980,,peter,1693748844937,1,,atezolizumab staal 1200 mg/20 ml
MEDICATION_P_B9003696,L01CE01: ST DDRIVER TOPOTECAN 4MG/4ML,32,36249278,36249275,4 ML topotecan 1 MG/ML Injection,,0,APPROVED,EQUAL,pj,1693745921697,,,pj,1693745220105,,peter,1693748844937,1,,ddriver topotecan 4mg/4ml
MEDICATION_P_B9001128,L01Y: ST DURVALUMAB MNP FLAC 500 MG,27,1594034,1594046,durvalumab,,0,APPROVED,EQUAL,pj,1693746247798,,,pj,1693745935289,,peter,1693748847496,1,,"""durvalumab""  500 mg"
MEDICATION_P_B9003090,L01Y: ST PDC-LUNG-101   PDC*LUNG01 7 000 000 cellen,23,,44179766,,,0,,,,0,,,,0,,,,,,L01Y: ST PDC-LUNG-101   PDC*LUNG01 7 000 000 cellen
MEDICATION_P_B9002353,L01Y: ST ORION DURVALUMAB FLAC 500 MG,21,1594034,1594046,durvalumab,,0,APPROVED,EQUAL,pj,1693746381100,,,pj,1693745937246,,peter,1693748847496,1,,"orion ""durvalumab""  500 mg"
MEDICATION_P_00126683,L01FF01: NIVOLUMAB INFOPL CONC 10MG/ML FL 10ML,20,45892629,45892628,nivolumab 10 MG/ML,,0,APPROVED,EQUAL,pj,1693746413283,,,pj,1693745938575,,peter,1693748847496,1,,"""nivolumab"" conc 10mg/ml fl 10ml"
MEDICATION_CS00186521,L01CA04: VINORELBINE INFOPL CONC 10MG/ML FL 5ML,19,19085602,35605200,vinorelbine 10 MG/ML,,0,APPROVED,EQUAL,pj,1693746428266,,,pj,1693745940006,,peter,1693748847496,1,,vinorelbine  conc 10mg/ml fl 5ml
MEDICATION_H_02575876,L01EB04: TAGRISSO TABLET FILMOMHULD 80MG,19,35605537,35605529,osimertinib 80 MG Oral Tablet [Tagrisso],,0,APPROVED,EQUAL,pj,1693746455114,,,pj,1693745941520,,peter,1693748847496,1,,"""tagrisso"" tablet filmomhuld 80mg"
MEDICATION_CS00188314,L01CE01: TOPOTECAN CAPSULE 1MG,19,1378534,1378536,topotecan 1 MG Oral Capsule,,0,APPROVED,EQUAL,pj,1693746466138,,,pj,1693745942382,,peter,1693748847496,1,,topotecan capsule 1mg
MEDICATION_CS00184572,L01CA02: VINCRISTINE INJVLST 1MG/ML FL 2ML,19,42921888,902728,2 ML Vincristine 1 MG/ML Injectable Solution [PFIZER VINCRISTINE SULFATE],,0,APPROVED,EQUAL,pj,1693746498723,,,pj,1693745943323,,peter,1693748847496,1,,vincristine  1mg/ml fl 2ml
MEDICATION_CS00185130,L01DB01: DOXORUBICINE INJVLST 2MG/ML FL 100ML,19,21095818,36863843,Doxorubicin 2 MG/ML [Doxorubin],,0,APPROVED,EQUAL,pj,1693746583360,,,pj,1693745944358,,peter,1693748847496,1,,"""doxorubicin"" 2mg/ml fl 100ml"
MEDICATION_CS00183346,L01AA01: CYCLOFOSFAMIDE INJECTIEPOEDER 1000MG FL,19,35606514,36863843,cyclophosphamide 1000 MG Injection,,0,APPROVED,EQUAL,pj,1693746652672,,,pj,1693745945370,,peter,1693748847496,1,,"""cyclophosphamide"" injection powder  1000mg fl"
MEDICATION_H_02357623,L01EC02: TAFINLAR CAPSULE 75MG,17,43532306,43532302,dabrafenib 75 MG Oral Capsule [Tafinlar],,0,APPROVED,EQUAL,pj,1693746663816,,,pj,1693745946315,,peter,1693748847496,1,,tafinlar capsule 75mg
MEDICATION_P_B9000789,L01FX04: ST IPILIMUMAB CA209-9LA FLAC 200 MG/40ML,14,40238189,46275955,ipilimumab 5 MG/ML,,0,APPROVED,EQUAL,pj,1693746693079,,,pj,1693745947759,,peter,1693748847496,1,,ipilimumab  200 mg/40ml
MEDICATION_P_B9001463,L01Y: ST ELEVATION PDR-001 100MG,12,,43690538,,,0,,,,0,,,,0,,,,,,L01Y: ST ELEVATION PDR-001 100MG
MEDICATION_P_B9003701,L01Y: ST DDRIVER BERZOSERTIB 200MG/10ML,11,36859058,36859058,BERZOSERTIB,,0,APPROVED,EQUAL,pj,1693747056834,,,pj,1693745949096,,peter,1693748847496,1,,ddriver berzosertib 20mg/ml
MEDICATION_P_B9002428,L01FG01: ST BEVACIZUMAB  MNP076 FLAC 400 MG/ 16 ML,10,46275988,46275988,16 ML bevacizumab 25 MG/ML Injection,,0,APPROVED,EQUAL,pj,1693747269783,,,pj,1693745950442,,peter,1693748847496,1,,"""bevacizumab""   400 mg/ 16 ml"
MEDICATION_P_B9002162,L01Y: ST ELEVATION CANAKINUMAB 150MG/ML,10,1593210,,canakinumab 150 MG/ML,,0,APPROVED,EQUAL,pj,1693747286784,,,pj,1693747286784,,peter,1693748866392,1,,canakinumab 150mg/ml
MEDICATION_P_B9002166,L01Y: ST ELEVATION CANAKINUMAB 50MG/0.5ML,10,40161669,,canakinumab,,0,APPROVED,EQUAL,pj,1693747359471,,,pj,1693747359471,,peter,1693748866392,1,,"""canakinumab"" 50mg/0.5ml"
MEDICATION_H_02542781,L01EE01: MEKINIST TABLET FILMOMHULD 2MG,9,43532508,,trametinib 2 MG Oral Tablet [Mekinist],,0,APPROVED,EQUAL,pj,1693747377190,,,pj,1693747377190,,peter,1693748866392,1,,mekinist  2mg
MEDICATION_CS00162377,L01CE01: HYCAMTIN CAPSULE 1MG,8,19127877,,topotecan 1 MG Oral Capsule [Hycamtin],,0,APPROVED,EQUAL,pj,1693747393719,,,pj,1693747393719,,peter,1693748866392,1,,"""hycamtin"" capsule 1mg"
