sourceCode,sourceName,sourceFrequency,conceptId,sourceAutoAssignedConceptIds,conceptName,domainId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:approvedBy,ADD_INFO:approvedOn,ADD_INFO:numberOfConcepts,ADD_INFO:customConcept,ADD_INFO:lastAthenaFilter
MEASUREMENT_g/dL,g/dL,9761,8713,8713,gram per deciliter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481410858,,PJ,1693481558434,,,g/dL
MEASUREMENT_x10³/µl,x10³/µl,9626,8848,,thousand per microliter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481435928,,PJ,1693481558434,1,,thousand per microliter
MEASUREMENT_x10^3/µL,x10^3/µL,8694,8848,,thousand per microliter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481444607,,PJ,1693481558434,1,,8848
MEASUREMENT_mg/L,mg/L,8565,8751,8751,milligram per liter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481411513,,PJ,1693481558434,,,mg/L
MEASUREMENT_ml/min,ml/min,8499,8795,8795,milliliter per minute,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481411679,,PJ,1693481558434,,,ml/min
MEASUREMENT_kg,kg,7578,9529,9529,kilogram,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481411801,,PJ,1693481558434,,,kg
MEASUREMENT_U/L,U/L,6025,8645,8645,unit per liter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481411934,,PJ,1693481558434,,,U/L
MEASUREMENT_mmol/L,mmol/L,5788,8753,8753,millimole per liter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481412099,,PJ,1693481558434,,,mmol/L
MEASUREMENT_g/dl,g/dl,2819,8713,8713,gram per deciliter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481412232,,PJ,1693481558434,,,g/dl
MEASUREMENT_cm,cm,1736,8582,8582,centimeter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481412352,,PJ,1693481558434,,,cm
MEASUREMENT_mg/dl,mg/dl,1332,8840,8840,milligram per deciliter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481412582,,PJ,1693481558434,,,mg/dl
MEASUREMENT_kg/m2,kg/m2,1316,9531,9531,kilogram per square meter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481412702,,PJ,1693481558434,,,kg/m2
MEASUREMENT_µg/L,µg/L,226,8748,8519,microgram per liter,,0,APPROVED,EQUAL,peter,1693481474874,,,peter,1693481413083,,PJ,1693481558434,1,,microgram per liter
