sourceCode,sourceName,sourceFrequency,conceptId,sourceAutoAssignedConceptIds,conceptName,domainId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:approvedBy,ADD_INFO:approvedOn,ADD_INFO:numberOfConcepts,ADD_INFO:customConcept,ADD_INFO:lastAthenaFilter
DIAGNOSIS_10_D_C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",1042,4151250,4151250,"Malignant neoplasm of upper lobe, bronchus or lung",Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426066039,,,,,,"Malignant neoplasm of upper lobe, right bronchus or lung"
DIAGNOSIS_10_D_C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",563,4151250,4151250,"Malignant neoplasm of upper lobe, bronchus or lung",Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426067769,,,,,,"Malignant neoplasm of upper lobe, left bronchus or lung"
DIAGNOSIS_10_D_C3431,"Malignant neoplasm of lower lobe, right bronchus or lung",444,4157454,4157454,"Primary malignant neoplasm of lower lobe, bronchus or lung",Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426069792,,,,,,"Malignant neoplasm of lower lobe, right bronchus or lung"
DIAGNOSIS_10_D_J449,"Chronic obstructive pulmonary disease, unspecified",330,4064928,4064928,Chronic obstructive pulmonary disease screening,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428507184,,,,1,,"Chronic obstructive pulmonary disease, unspecified"
DIAGNOSIS_10_D_I10,Essential (primary) hypertension,328,320128,317898,Essential hypertension,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428507941,,,,1,,Essential (primary) hypertension
DIAGNOSIS_10_D_C3432,"Malignant neoplasm of lower lobe, left bronchus or lung",295,4157454,4157454,"Primary malignant neoplasm of lower lobe, bronchus or lung",Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426071554,,,,,,"Malignant neoplasm of lower lobe, left bronchus or lung"
DIAGNOSIS_10_D_C3402,Malignant neoplasm of left main bronchus,198,601154,601154,Primary malignant neoplasm of left main bronchus,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426201942,,,,,,Malignant neoplasm of left main bronchus
DIAGNOSIS_10_D_C3401,Malignant neoplasm of right main bronchus,180,601155,601155,Primary malignant neoplasm of right main bronchus,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426203468,,,,,,Malignant neoplasm of right main bronchus
DIAGNOSIS_10_D_J910,Malignant pleural effusion,144,36770024,36770024,Malignant pleural effusion,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428508682,,,,1,,Malignant pleural effusion
DIAGNOSIS_10_D_E119,Type 2 diabetes mellitus without complications,137,4193704,4099216,Type 2 diabetes mellitus without complication,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428510143,,,,1,,Type 2 diabetes mellitus without complications
DIAGNOSIS_10_D_C3481,Malignant neoplasm of ovrlp sites of right bronchus and lung,115,258375,258375,Overlapping malignant neoplasm of bronchus and lung,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426073979,,,,,,Malignant neoplasm of ovrlp sites of right bronchus and lung
DIAGNOSIS_10_D_I252,Old myocardial infarction,107,314666,314666,Old myocardial infarction,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428510714,,,,1,,Old myocardial infarction
DIAGNOSIS_10_D_C3491,Malignant neoplasm of unsp part of right bronchus or lung,92,35610239,35610239,Malignant neoplasm of bronchus or lung,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426076109,,,,,,Malignant neoplasm of unsp part of right bronchus or lung
DIAGNOSIS_10_D_C3492,Malignant neoplasm of unsp part of left bronchus or lung,92,35610239,35610239,Malignant neoplasm of bronchus or lung,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426077916,,,,,,Malignant neoplasm of unsp part of left bronchus or lung
DIAGNOSIS_10_D_C7A8,Other malignant neuroendocrine tumors,88,37018875,37018875,Malignant neuroendocrine tumor,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428511393,,,,1,,Other malignant neuroendocrine tumors
DIAGNOSIS_10_D_C342,"Malignant neoplasm of middle lobe, bronchus or lung",82,4151250,4151250,"Malignant neoplasm of upper lobe, bronchus or lung",Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426079647,,,,,,"Malignant neoplasm of middle lobe, bronchus or lung"
DIAGNOSIS_10_D_C3482,Malignant neoplasm of ovrlp sites of left bronchus and lung,82,258375,258375,Overlapping malignant neoplasm of bronchus and lung,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426081437,,,,,,Malignant neoplasm of ovrlp sites of left bronchus and lung
DIAGNOSIS_10_D_N183,"Chronic kidney disease, stage 3 (moderate)",77,443597,36210709,Chronic kidney disease stage 3,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428512332,,,,1,,"Chronic kidney disease, stage 3 (moderate)"
DIAGNOSIS_10_D_K7031,Alcoholic cirrhosis of liver with ascites,70,46269816,196463,Ascites due to alcoholic cirrhosis,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428514100,,,,1,,Alcoholic cirrhosis of liver with ascites
DIAGNOSIS_10_D_Z8673,"Prsnl hx of TIA (TIA), and cereb infrc w/o resid deficits",67,4041692,4041692,Deficits in attention motor control and perception,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428515443,,,,,,"Prsnl hx of TIA (TIA), and cereb infrc w/o resid deficits"
DIAGNOSIS_CS01301564,Maligne neoplasma van bronchus en long (longcarcinoom),67,35610239,4057120,Malignant neoplasm of bronchus or lung,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693426204506,,,,1,,malignant neoplasm of bronchus and lung
DIAGNOSIS_10_D_Z8546,Personal history of malignant neoplasm of prostate,62,3169330,3169330,Personal history of prostate cancer,Observation,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426206425,,,,,,Personal history of malignant neoplasm of prostate
DIAGNOSIS_10_D_C61,Malignant neoplasm of prostate,59,200962,200962,Primary malignant neoplasm of prostate,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426207757,,,,,,Malignant neoplasm of prostate
DIAGNOSIS_10_D_J440,Chr obstructive pulmon disease with (acute) lower resp infct,48,4110056,4110056,Chronic obstructive pulmonary disease with acute lower respiratory infection,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428516652,,,,1,,Chr obstructive pulmon disease with (acute) lower resp infct
DIAGNOSIS_10_D_C411,Malignant neoplasm of mandible,42,40490993,40490993,Malignant neoplasm of mandible,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426209068,,,,,,Malignant neoplasm of mandible
DIAGNOSIS_10_D_Z8505,Personal history of malignant neoplasm of liver,42,0,4324202,Personal history of malignant neoplasm of liver,,0,,EQUIVALENT,Peter,1693429781252,,,Peter,1693428372257,,,,1,true,Personal history of malignant neoplasm of liver
DIAGNOSIS_10_D_C154,Malignant neoplasm of middle third of esophagus,40,437805,437805,Primary malignant neoplasm of middle third of esophagus,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426212197,,,,,,Malignant neoplasm of middle third of esophagus
DIAGNOSIS_10_D_J441,Chronic obstructive pulmonary disease w (acute) exacerbation,40,44807895,44805524,Acute non-infective exacerbation of chronic obstructive pulmonary disease,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428517944,,,,1,,Chronic obstructive pulmonary disease w (acute) exacerbation
DIAGNOSIS_10_D_C221,Intrahepatic bile duct carcinoma,38,4001664,4001664,Intrahepatic bile duct carcinoma,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428518616,,,,,,Intrahepatic bile duct carcinoma
DIAGNOSIS_10_D_I255,Ischemic cardiomyopathy,37,4145696,4145696,Ischemic congestive cardiomyopathy,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428519182,,,,,,Ischemic cardiomyopathy
DIAGNOSIS_10_D_I129,Hypertensive chronic kidney disease w stg 1-4/unsp chr kdny,34,43021852,43021852,Malignant hypertensive chronic kidney disease,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693428520116,,,,,,Hypertensive chronic kidney disease w stg 1-4/unsp chr kdny
DIAGNOSIS_10_D_Z85818,"Prsnl hx of malig neoplm of site of lip, oral cav, and pharynx",33,4113107,4113107,"Carcinoma of lip, oral cavity and pharynx",,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693429692801,,,,,,"Prsnl hx of malig neoplm of site of lip, oral cav, and pharynx"
DIAGNOSIS_9_D_4011,BENIGNE ESSENTIELE HYPERTENSIE,30,312648,312648,Benign essential hypertension,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693429401847,,,,,,BENIGNE ESSENTIELE HYPERTENSIE
DIAGNOSIS_9_D_25000,"DIABETES MELLITUS ZONDER VERMELDING VAN COMPLICATIE, TYPE II (NIET-INSULINE DEPENDENT) (NIDDM-TYPE) ('ADULT-ONSET') OF NIET GESPECIFICEERDE VORM, NIET-GESPECIFICEERD ALS INSTABIEL",26,40483315,40483315,Brittle type 2 diabetes mellitus,Condition,0,APPROVED,EQUAL,Peter,1693429781252,,,Peter,1693426122219,,,,,,"DIABETES MELLITUS ZONDER VERMELDING VAN COMPLICATIE, TYPE II (NIET-INSULINE DEPENDENT) (NIDDM-TYPE) ('ADULT-ONSET') OF NIET GESPECIFICEERDE VORM, NIET-GESPECIFICEERD ALS INSTABIEL"
DIAGNOSIS_10_D_I5022,Chronic systolic (congestive) heart failure,26,40479192,40479192,Chronic systolic heart failure,,0,APPROVED,EQUIVALENT,Peter,1693429781252,,,Peter,1693429694467,,,,,,Chronic systolic (congestive) heart failure
