sourceCode,sourceName,sourceFrequency
DIAGNOSES_10_D_C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",1043
DIAGNOSES_10_D_C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",563
DIAGNOSES_10_D_C3431,"Malignant neoplasm of lower lobe, right bronchus or lung",444
DIAGNOSES_10_D_J449,"Chronic obstructive pulmonary disease, unspecified",330
DIAGNOSES_10_D_I10,Essential (primary) hypertension,328
DIAGNOSES_10_D_C3432,"Malignant neoplasm of lower lobe, left bronchus or lung",295
DIAGNOSES_10_D_C3402,Malignant neoplasm of left main bronchus,198
DIAGNOSES_10_D_C3401,Malignant neoplasm of right main bronchus,180
DIAGNOSES_10_D_J910,Malignant pleural effusion,144
DIAGNOSES_10_D_E119,Type 2 diabetes mellitus without complications,137
DIAGNOSES_10_D_C3481,Malignant neoplasm of ovrlp sites of right bronchus and lung,115
DIAGNOSES_10_D_I252,Old myocardial infarction,107
DIAGNOSES_10_D_C3491,Malignant neoplasm of unsp part of right bronchus or lung,92
DIAGNOSES_10_D_C3492,Malignant neoplasm of unsp part of left bronchus or lung,92
DIAGNOSES_10_D_C7A8,Other malignant neuroendocrine tumors,88
DIAGNOSES_10_D_C342,"Malignant neoplasm of middle lobe, bronchus or lung",82
DIAGNOSES_10_D_C3482,Malignant neoplasm of ovrlp sites of left bronchus and lung,82
DIAGNOSES_10_D_N183,"Chronic kidney disease, stage 3 (moderate)",77
DIAGNOSES_10_D_K7031,Alcoholic cirrhosis of liver with ascites,70
DIAGNOSES_10_D_Z8673,"Prsnl hx of TIA (TIA), and cereb infrc w/o resid deficits",68
DIAGNOSES_CS01301564,Maligne neoplasma van bronchus en long (longcarcinoom),67
DIAGNOSES_10_D_Z8546,Personal history of malignant neoplasm of prostate,62
DIAGNOSES_10_D_C61,Malignant neoplasm of prostate,59
DIAGNOSES_10_D_J440,Chr obstructive pulmon disease with (acute) lower resp infct,48
DIAGNOSES_10_D_C411,Malignant neoplasm of mandible,42
DIAGNOSES_10_D_Z8505,Personal history of malignant neoplasm of liver,42
DIAGNOSES_10_D_J441,Chronic obstructive pulmonary disease w (acute) exacerbation,40
DIAGNOSES_10_D_C154,Malignant neoplasm of middle third of esophagus,40
DIAGNOSES_10_D_C221,Intrahepatic bile duct carcinoma,38
DIAGNOSES_10_D_I255,Ischemic cardiomyopathy,37
DIAGNOSES_10_D_I129,Hypertensive chronic kidney disease w stg 1-4/unsp chr kdny,34
DIAGNOSES_10_D_Z85818,"Prsnl hx of malig neoplm of site of lip, oral cav, and pharynx",33
DIAGNOSES_9_D_4011,BENIGNE ESSENTIELE HYPERTENSIE,30
DIAGNOSES_CLDT0000050463,Non-small cell lung cancer (disorder),29
DIAGNOSES_CLDT0000050463,niet-kleincellig longcarcinoom,29
DIAGNOSES_CLDT0000050463,NSCLC,29
DIAGNOSES_10_D_I5022,Chronic systolic (congestive) heart failure,26
DIAGNOSES_9_D_25000,"DIABETES MELLITUS ZONDER VERMELDING VAN COMPLICATIE, TYPE II (NIET-INSULINE DEPENDENT) (NIDDM-TYPE) ('ADULT-ONSET') OF NIET GESPECIFICEERDE VORM, NIET-GESPECIFICEERD ALS INSTABIEL",26
DIAGNOSES_10_D_Z85828,Personal history of other malignant neoplasm of skin,24
DIAGNOSES_10_D_C7A1,Malignant poorly differentiated neuroendocrine tumors,23
DIAGNOSES_CLDT0000040223,invasief adenocarcinoom van long,22
DIAGNOSES_CLDT0000040223,Invasive adenocarcinoma of lung (disorder),22
DIAGNOSES_10_D_I110,Hypertensive heart disease with heart failure,22
DIAGNOSES_10_D_Z8551,Personal history of malignant neoplasm of bladder,21
DIAGNOSES_9_D_49120,OBSTRUCTIEVE CHRONISCHE BRONCHITIS ZONDER EXACERBATIE,21
DIAGNOSES_CLDT0000002655,diabetes mellitus type 2,20
DIAGNOSES_CLDT0000002655,niet-insuline-afhankelijke diabetes mellitus,20
DIAGNOSES_CLDT0000002655,niet-insuline-afhankelijke diabetes mellitus type 2 zonder complicaties,20
DIAGNOSES_CLDT0000002655,Diabetes mellitus type 2 (disorder),20
DIAGNOSES_CLDT0000002655,DM 2,20
DIAGNOSES_CLDT0000002655,diabetes mellitus type 2 [DM2],20
DIAGNOSES_10_D_E1165,Type 2 diabetes mellitus with hyperglycemia,20
DIAGNOSES_10_D_D631,Anemia in chronic kidney disease,19
DIAGNOSES_10_D_N182,"Chronic kidney disease, stage 2 (mild)",19
DIAGNOSES_CLDT0000005097,arteriële hypertensie,18
DIAGNOSES_CLDT0000005097,AHT,18
DIAGNOSES_CLDT0000005097,essentiële hypertensie,18
DIAGNOSES_CLDT0000005097,idiopathische hoge bloeddruk,18
DIAGNOSES_CLDT0000005097,Essential hypertension (disorder),18
DIAGNOSES_CLDT0000005097,primaire hypertensie,18
DIAGNOSES_CLDT0000050362,Small cell carcinoma of lung (disorder),18
DIAGNOSES_CLDT0000050362,kleincellig longcarcinoom,18
DIAGNOSES_CLDT0000050362,SCLC,18
DIAGNOSES_CLDT0000005783,COPD,17
DIAGNOSES_CLDT0000005783,Chronic obstructive lung disease (disorder),17
DIAGNOSES_CLDT0000005783,chronische obstructieve longaandoening [COPD],17
DIAGNOSES_CLDT0000005783,chronic obstructive pulmonary disease,17
DIAGNOSES_10_D_Z8501,Personal history of malignant neoplasm of esophagus,17
DIAGNOSES_10_D_I420,Dilated cardiomyopathy,16
DIAGNOSES_10_D_N186,End stage renal disease,16
DIAGNOSES_10_D_Z992,Dependence on renal dialysis,16
DIAGNOSES_10_D_I714,"Abdominal aortic aneurysm, without rupture",15
