sourceCode,sourceName,sourceFrequency
MEDICATION_P_00136328,L01FF02: PEMBROLIZUMAB INFOPL CONC 25MG/ML FL 4ML,1129
MEDICATION_P_00118907,L01CB01: ETOPOSIDE INFOPL CONC 20MG/ML FL 25ML,674
MEDICATION_CS00185433,L01XA02: CARBOPLATINE INFOPL CONC 10MG/ML FL 45ML,360
MEDICATION_CS00185242,L01XA01: CISPLATINE INFOPL CONC 1MG/ML FL 100ML,251
MEDICATION_P_00138088,L01BA04: PEMETREXED INFUSIEPOEDER 500MG FL,226
MEDICATION_P_00148482,L01FF05: ATEZOLIZUMAB INFOPL CONC 60MG/ML FL 20ML,213
MEDICATION_P_00196029,L01FF03: DURVALUMAB INFOPL CONC 50MG/ML FL 10ML,172
MEDICATION_CS00188888,"L01BC05: GEMCITABINE INFOPL CONC  38MG/ML FL 52,6ML",130
MEDICATION_CS00186407,L01CD01: PACLITAXEL INFOPL CONC 6MG/ML FL 50ML,112
MEDICATION_P_00142638,L01BA04: PEMETREXED INFOPL CONC 25MG/ML FL 40ML,84
MEDICATION_CS00018513,L01CD02: DOCETAXEL INFOPL CONC 20MG/ML FL 8ML,62
MEDICATION_P_00127337,L01EX09: NINTEDANIB CAPSULE 100MG LONGCARCINOO,51
MEDICATION_P_B9000817,L01FF01: ST NIVOLUMAB CA209-9LA FLAC 100 MG/10ML,35
MEDICATION_P_B9001921,L01FF05: ST Atezolizumab staal 1200 mg/20 ml,33
MEDICATION_P_B9003696,L01CE01: ST DDRIVER TOPOTECAN 4MG/4ML,32
MEDICATION_P_B9001128,L01Y: ST DURVALUMAB MNP FLAC 500 MG,27
MEDICATION_P_B9003090,L01Y: ST PDC-LUNG-101   PDC*LUNG01 7 000 000 cellen,23
MEDICATION_P_B9002353,L01Y: ST ORION DURVALUMAB FLAC 500 MG,21
MEDICATION_P_00126683,L01FF01: NIVOLUMAB INFOPL CONC 10MG/ML FL 10ML,20
MEDICATION_CS00186521,L01CA04: VINORELBINE INFOPL CONC 10MG/ML FL 5ML,19
MEDICATION_H_02575876,L01EB04: TAGRISSO TABLET FILMOMHULD 80MG,19
MEDICATION_CS00188314,L01CE01: TOPOTECAN CAPSULE 1MG,19
MEDICATION_CS00184572,L01CA02: VINCRISTINE INJVLST 1MG/ML FL 2ML,19
MEDICATION_CS00185130,L01DB01: DOXORUBICINE INJVLST 2MG/ML FL 100ML,19
MEDICATION_CS00183346,L01AA01: CYCLOFOSFAMIDE INJECTIEPOEDER 1000MG FL,19
MEDICATION_H_02357623,L01EC02: TAFINLAR CAPSULE 75MG,17
MEDICATION_P_B9000789,L01FX04: ST IPILIMUMAB CA209-9LA FLAC 200 MG/40ML,14
MEDICATION_P_B9001463,L01Y: ST ELEVATION PDR-001 100MG,12
MEDICATION_P_B9003701,L01Y: ST DDRIVER BERZOSERTIB 200MG/10ML,11
MEDICATION_P_B9002428,L01FG01: ST BEVACIZUMAB  MNP076 FLAC 400 MG/ 16 ML,10
MEDICATION_P_B9002162,L01Y: ST ELEVATION CANAKINUMAB 150MG/ML,10
MEDICATION_P_B9002166,L01Y: ST ELEVATION CANAKINUMAB 50MG/0.5ML,10
MEDICATION_H_02542781,L01EE01: MEKINIST TABLET FILMOMHULD 2MG,9
MEDICATION_CS00162377,L01CE01: HYCAMTIN CAPSULE 1MG,8
MEDICATION_H_02470497,L01EX09: VARGATEF CAPSULE 100MG,7
MEDICATION_P_B9003964,L01FF03: ST LATIFY DURVALUMAB FLAC 500 MG/10ML,7
MEDICATION_P_B9003364,L01CD02: ST SAPPHIRE DOCETAXEL 80 MG/4 ML,6
MEDICATION_P_B9003042,L01FF05: ST GO41767 ATEZOLIZUMAB 1200 mg/20 ml,6
MEDICATION_CS00187740,L01EB02: ERLOTINIB TABLET 150MG,6
MEDICATION_CS00189104,L01BC05: GEMCITABINE INFOPL CONC 100MG/ML FL 20ML,5
MEDICATION_P_B9000677,L01BA04: ST ALIMTA CA209-9LA  500MG,4
MEDICATION_P_B9000719,L01XA01: ST CISPLATIN CA209-9LA INJ 100MG/100ML,4
MEDICATION_P_B9000762,L01FF05: ST ATEZOLIZUMAB GO29438 FLAC 1200 MG/20 ML,4
MEDICATION_CS00187578,L01FG01: BEVACIZUMAB INFOPL CONC 25MG/ML FL 16ML,4
MEDICATION_P_B9002055,L01CD02: ST CANOPY-2 TAXOTERE 80 MG,2
MEDICATION_P_B9002018,L01Y: ST CANOPY-2 CANAKINUMAB 150MG/ML,2
MEDICATION_P_B9002052,L01Y: ST CANOPY-2 CANAKINUMAB 50MG/0.5ML,2
MEDICATION_CS00187035,L01XA02: CARBOPLATINE INFOPL CONC 10MG/ML FL 60ML,1
MEDICATION_P_00107131,L01EC02: DABRAFENIB CAPSULE 75MG,1
MEDICATION_H_02471566,L01EX09: VARGATEF CAPSULE 150MG,1
MEDICATION_P_B9000962_0022030413,Y: STUDIE GENEESMIDDEL 1 Sotorasib,1
