sourceCode,sourceName,sourceFrequency
QUESTIONNAIRES_00000804,Voorgaande prostaat biopsie,226
QUESTIONNAIRES_00000806,Digital rectal examination,226
QUESTIONNAIRES_00000807,Transrectale echografie,226
QUESTIONNAIRES_00000815,Genetisch risico,226
QUESTIONNAIRES_0000010445,Histologische diagnose,355
QUESTIONNAIRES_CS00000188,Roken,1364
QUESTIONNAIRES_CS00178108,Roken,13
QUESTIONNAIRES_ZH00000203,cT,294
QUESTIONNAIRES_ZH00000204,cN,295
QUESTIONNAIRES_ZH00000206,cM,294
QUESTIONNAIRES_ZH00000213,WHO-score bij diagnose,300
QUESTIONNAIRES_ZH00001637,Primaire tumorlocalisatie,257
QUESTIONNAIRES_ZH00001664,Primaire tumorlokalisatie,300
