sourceCode,sourceName,sourceFrequency,conceptId,sourceAutoAssignedConceptIds,conceptName,domainId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:approvedBy,ADD_INFO:approvedOn,ADD_INFO:numberOfConcepts,ADD_INFO:customConcept,ADD_INFO:lastAthenaFilter
QUESTIONNAIRES_XYZ20,Voorgaande prostaat biopsie - Ja,23,4188539,2718922,Yes,Meas Value,0,APPROVED,EQUAL,Peter,1693683834199,,,Peter,1693683731203,,pj,1693694780733,1,,yes
QUESTIONNAIRES_XYZ16,Voorgaande prostaat biopsie - Neen,203,4188540,42048699,No,Meas Value,0,APPROVED,EQUAL,Peter,1693683956687,,,Peter,1693683731367,,pj,1693694780733,1,,no
QUESTIONNAIRES_XYZ11,Digital rectal examination - Normaal,194,4093403,4125459,Normal result,Observation,0,APPROVED,EQUAL,Peter,1693684271926,,,Peter,1693683731916,,pj,1693694780733,1,,normal result
QUESTIONNAIRES_XYZ10,Digital rectal examination - Abnormaal,29,4088483,9216,Abnormal result,Observation,0,APPROVED,EQUAL,Peter,1693684261115,,,Peter,1693683732524,,pj,1693694780733,1,,abnormal result
QUESTIONNAIRES_XYZ13,Digital rectal examination - geen data,1,35821497,44803831,No data returned,Observation,0,APPROVED,EQUAL,Peter,1693684282761,,,Peter,1693683732769,,pj,1693694780733,1,,no data
QUESTIONNAIRES_XYZ12,Digital rectal examination - Geen gegevens,1,35821497,4281995,No data returned,Observation,0,APPROVED,EQUAL,Peter,1693684325577,,,Peter,1693683733109,,pj,1693694780733,1,,35821497
QUESTIONNAIRES_XYZ13,Transrectale echografie - geen data,1,35821497,,No data returned,Observation,0,APPROVED,EQUAL,peter,1693691984617,,,peter,1693691984617,,pj,1693694780734,1,,35821497
QUESTIONNAIRES_XYZ12,Transrectale echografie - Geen gegevens,1,35821497,,No data returned,Observation,0,APPROVED,EQUAL,peter,1693691998265,,,peter,1693691998265,,pj,1693694780734,1,,35821497
QUESTIONNAIRES_XYZ21,Transrectale echografie - Niet uitgevoerd,1,4301433,4301609,Not done,Observation,0,APPROVED,EQUAL,Peter,1693684412977,,,Peter,1693683733506,,pj,1693694780734,1,,not done
QUESTIONNAIRES_XYZ19,Genetisch risico - ja,30,4188539,2718922,Yes,Meas Value,0,APPROVED,EQUAL,Peter,1693683877231,,,Peter,1693683733707,,pj,1693694780734,1,,yes
QUESTIONNAIRES_XYZ17,Genetisch risico - nee,185,4188540,,No,Meas Value,0,APPROVED,EQUAL,Peter,1693683969286,,,Peter,1693683969286,,pj,1693694780734,1,,4188540
QUESTIONNAIRES_XYZ18,Genetisch risico - neen,1,4188540,,No,Meas Value,0,APPROVED,EQUAL,peter,1693692026513,,,peter,1693692026513,,pj,1693694780734,1,,4188540
QUESTIONNAIRES_XYZ14,Genetisch risico - <Memo>,4,4087144,4087144,Swelling - edema - symptom,Condition,0,SEMI-APPROVED,EQUAL,pj,1693694780734,,,pj,1693694774086,,,,,,Genetisch risico - <Memo>
QUESTIONNAIRES_XYZ23,Genetisch risico - Negatief,2,9189,9189,Negative,Meas Value,0,APPROVED,EQUAL,Peter,1693684010318,,,Peter,1693683734314,,pj,1693694780734,,,Negatief
QUESTIONNAIRES_XYZ22,Genetisch risico - negatief,1,9189,9189,Negative,Meas Value,0,APPROVED,EQUAL,Peter,1693684010991,,,Peter,1693683734638,,pj,1693694780734,,,negatief
QUESTIONNAIRES_XYZ12,Genetisch risico - Geen gegevens,1,4035566,,Text value,Observation,0,APPROVED,EQUAL,peter,1693692046656,,,peter,1693692046656,,pj,1693694780734,1,,4035566
QUESTIONNAIRES_0015857750,"Histologische diagnose - 8000/3 - Neoplasma, maligne",1,4312326,4087144,"Neoplasm, malignant (primary)",Observation,0,APPROVED,EQUAL,Peter,1693684431937,,,Peter,1693683735578,,pj,1693694780734,1,,neoplasm malignant
QUESTIONNAIRES_0015857752,"Histologische diagnose - 8000/3 - Tumor, maligne, NNO",1,4227429,4234377,"Tumor cells, malignant",Observation,0,APPROVED,EQUAL,Peter,1693684481120,,,Peter,1693683736186,,pj,1693694780734,1,,malignant tumor  nno
QUESTIONNAIRES_0015857778,"Histologische diagnose - 8010/3 - Carcinoom, NNO",1,608265,4087144,Malignant carcinoid tumor,Observation,0,APPROVED,EQUAL,Peter,1693684586359,,,Peter,1693683736696,,pj,1693694780734,1,,malignant tumor
QUESTIONNAIRES_0015857787,"Histologische diagnose - 8012/3 - Grootcellig carcinoom, NNO",8,4331315,4087144,Large cell carcinoma,Observation,0,APPROVED,EQUAL,Peter,1693684610830,,,Peter,1693683739460,,pj,1693694780734,1,,large cell carcinoma
QUESTIONNAIRES_0015857788,Histologische diagnose - 8013/3 - Grootcellig neuro-endocrien carcinoom,4,4029971,4087144,Large cell neuroendocrine carcinoma,Observation,0,APPROVED,EQUAL,Peter,1693684637743,,,Peter,1693683740301,,pj,1693694780734,1,,large cell neuro-endocrine carcinoma
QUESTIONNAIRES_0015857813,"Histologische diagnose - 8041/3 - Kleincellig carcinoom, NNO",18,4252582,4087144,Small cell carcinoma,Observation,0,APPROVED,EQUAL,Peter,1693684659423,,,Peter,1693683740952,,pj,1693694780734,1,,small cell carcinoma
QUESTIONNAIRES_0015857816,Histologische diagnose - 8041/3 - Kleincellig neuro-endocrien carcinoom,3,36714029,4087144,Small cell neuroendocrine carcinoma,Observation,0,APPROVED,EQUAL,Peter,1693684686654,,,Peter,1693683741893,,pj,1693694780734,1,,small cell neuro-endocrine carcinoma
QUESTIONNAIRES_0015857817,"Histologische diagnose - 8041/3 - Kleincellig carcinoom, pulmonaal type",18,3196099,4118823,"Small cell carcinoma, pulmonary type",Observation,0,APPROVED,EQUAL,Peter,1693684713588,,,Peter,1693683742883,,pj,1693694780734,1,,small cell cacinoma pulmonal type 
QUESTIONNAIRES_0015857826,Histologische diagnose - 8046/3 - Niet-kleincellig carcinoom (C34._),8,4028533,36403024,Non-small cell carcinoma,Observation,0,APPROVED,EQUAL,Peter,1693684883429,,,Peter,1693683743697,,pj,1693694780734,1,,4028533
QUESTIONNAIRES_0015857858,"Histologische diagnose - 8070/2 - Plaveiselcelcarcinoma in situ, NNO",1,4241977,4306969,Squamous cell carcinoma in situ,Observation,0,APPROVED,EQUAL,Peter,1693684917580,,,Peter,1693683744369,,pj,1693694780734,1,,squamous cell carcinoma in situ
QUESTIONNAIRES_0015857862,"Histologische diagnose - 8070/2 - Spinocellulair carcinoma in situ, NNO",1,0,4306969,Spinocellular carcinoma in situ,Condition,0,APPROVED,EQUAL,Peter,1693685324969,,,Peter,1693683932969,,pj,1693694780734,1,true,"8070/2 - Spinocellulair carcinoma in situ, NNO"
QUESTIONNAIRES_0015857863,"Histologische diagnose - 8070/3 - Plaveiselcelcarcinoom, NNO",9,4103543,4087144,Squamous cell carcinoma,Observation,0,APPROVED,EQUAL,Peter,1693685590399,,,Peter,1693683933433,,pj,1693694780734,1,,squamous cell carcinoma
QUESTIONNAIRES_0015857868,Histologische diagnose - 8070/3 - Spinocellulair carcinoom,41,0,4087144,Spinocellular carcinoma ,Condition,0,APPROVED,EQUAL,Peter,1693685670072,,,Peter,1693683934128,,pj,1693694780734,1,true,8070/3 - Spinocellulair carcinoom
QUESTIONNAIRES_0015857874,"Histologische diagnose - 8071/3 - Plaveiselcelcarcinoom, keratiniserend,NNO",1,4078953,4087144,"Squamous cell carcinoma, keratinizing",Observation,0,APPROVED,EQUAL,Peter,1693685700199,,,Peter,1693683934798,,pj,1693694780734,1,,"squamous cell carcinoma, keratinizing"
QUESTIONNAIRES_0015857878,"Histologische diagnose - 8071/3 - Spinocellulair carcinoom, keratiniserend, NNO",2,0,4087144,"Spinocellular carcinoma, keratinizing",Condition,0,APPROVED,EQUAL,Peter,1693685731473,,,Peter,1693683935885,,pj,1693694780734,1,true,"8071/3 - Spinocellulair carcinoom, keratiniserend, NNO"
QUESTIONNAIRES_0015857931,Histologische diagnose - 8083/3 - Basaloïd plaveiselcelcarcinoom,1,4029973,4087144,Basaloid squamous cell carcinoma,Observation,0,APPROVED,EQUAL,Peter,1693685753943,,,Peter,1693683936673,,pj,1693694780734,1,,basaloid squamous cell carcinoma
QUESTIONNAIRES_0015858046,"Histologische diagnose - 8140/3 - Adenocarcinoom, NNO(uitgezonderd van de anale klieren/ducti M-8215/3)",117,0,4033095,"adenocarcinoma, not except of the anal glands/ducts",Observation,0,APPROVED,EQUAL,Peter,1693685894695,,,Peter,1693683937593,,pj,1693694780734,1,true,"8140/3 - Adenocarcinoom, NNO(uitgezonderd van de anale klieren/ducti M-8215/3)"
QUESTIONNAIRES_0015858051,Histologische diagnose - 8140/3 - Acinair adenocarcinoom van de prostaat(C61.9),90,0,4249533,acinar adenocarcinoma of the prostate,Observation,0,APPROVED,EQUAL,Peter,1693686598965,,,Peter,1693683938494,,pj,1693694780734,1,true,8140/3 - Acinair adenocarcinoom van de prostaat(C61.9)
